count,old_condition,new_condition,new_subset
3,Beam Search; vs Gemini 1.5 Flash 002,Beam Search,vs Gemini 1.5 Flash 002
3,Challenging prompts from red teamers with biosafety-relevant PhDs,,Challenging prompts from red teamers with biosafety-relevant PhDs
3,Filtered adversarial sample of production prompts,,Filtered adversarial sample of production prompts
3,N=100,N=100,
3,N=100 + thinking,N=100 + thinking,
3,N=1000,N=1000,
3,N=1000 + thinking,N=1000 + thinking,
3,N=500,N=500,
3,N=500 + thinking,N=500 + thinking,
3,N=5000,N=5000,
3,RL only,RL only,
3,RL-only,RL-only,
3,Retail,,Retail
3,SFT,SFT,
3,SFT on Magistral Medium Traces,SFT on Magistral Medium Traces,
3,SFT on Magistral Medium Traces + RL,SFT on Magistral Medium Traces + RL,
3,SFT+RL,SFT+RL,
3,Sequence Design (Pass@5),,Sequence Design (Pass@5)
3,TAP; vs Gemini 1.5 Flash 002,TAP,vs Gemini 1.5 Flash 002
3,Telecom,,Telecom
3,Winner vs OpenAI o3,,Winner vs OpenAI o3
3,ambiguous accuracy,,ambiguous accuracy
3,ambiguous bias,,ambiguous bias
3,assigned individually tailored subsets,,assigned individually tailored subsets
3,disambiguated accuracy,,disambiguated accuracy
3,disambiguated bias,,disambiguated bias
3,domestic polarization; helpful-only,helpful-only,domestic polarization
3,main; browsing disabled,main; browsing disabled,
3,main; browsing enabled,main; browsing enabled,
3,no extended thinking,no extended thinking,
3,no thinking,no thinking,
3,professional red-team; with safeguards,with safeguards,professional red-team
3,professional red-team; without safeguards,without safeguards,professional red-team
3,single policy model; general prompts,single policy model,general prompts
3,voter suppression; helpful-only,helpful-only,voter suppression
3,with extended thinking,with extended thinking,
3,with tool result clearing,with tool result clearing,
3,with tool result clearing + memory,with tool result clearing + memory,
3,without mitigations,without mitigations,
2,+ On-policy Distillation; pass@64,+ On-policy Distillation; pass@64,
2,+ Reinforcement Learning; pass@64,+ Reinforcement Learning; pass@64,
2,+ User Jailbreak,+ User Jailbreak,
2,128k; Extended Thinking,Extended Thinking,128k
2,"Arabic, low",low,Arabic
2,"Arabic, medium",medium,Arabic
2,"Average, low",low,Average
2,"Average, medium",medium,Average
2,"Bengali, low",low,Bengali
2,"Bengali, medium",medium,Bengali
2,Broad,,Broad
2,"Chinese, low",low,Chinese
2,"Chinese, medium",medium,Chinese
2,"French, low",low,French
2,"French, medium",medium,French
2,"German, low",low,German
2,"German, medium",medium,German
2,"Hindi, low",low,Hindi
2,"Hindi, medium",medium,Hindi
2,"Indonesian, low",low,Indonesian
2,"Indonesian, medium",medium,Indonesian
2,"Italian, low",low,Italian
2,"Italian, medium",medium,Italian
2,"Japanese, low",low,Japanese
2,"Japanese, medium",medium,Japanese
2,"Korean, low",low,Korean
2,"Korean, medium",medium,Korean
2,Off-policy Distillation; pass@64,Off-policy Distillation; pass@64,
2,"Portuguese, low",low,Portuguese
2,"Portuguese, medium",medium,Portuguese
